count,scaffold
1,scaffold10
1,scaffold100
1,scaffold102
1,scaffold108
1,scaffold11
1,scaffold112
1,scaffold120
1,scaffold124
1,scaffold126
1,scaffold130
1,scaffold134
1,scaffold137
1,scaffold142
1,scaffold153
1,scaffold158
1,scaffold17
1,scaffold174
1,scaffold178
1,scaffold182
1,scaffold189
1,scaffold196
1,scaffold21
1,scaffold211
1,scaffold219
1,scaffold22
1,scaffold223
1,scaffold23
1,scaffold234
1,scaffold243
1,scaffold246
1,scaffold255
1,scaffold259
1,scaffold26
1,scaffold260
1,scaffold261
1,scaffold274
1,scaffold282
1,scaffold285
1,scaffold290
1,scaffold298
1,scaffold3
1,scaffold30
1,scaffold319
1,scaffold334
1,scaffold34
1,scaffold343
1,scaffold348
1,scaffold367
1,scaffold37
1,scaffold40
1,scaffold43
1,scaffold44
1,scaffold47
1,scaffold48
1,scaffold486
1,scaffold51
1,scaffold52
1,scaffold61
1,scaffold64
1,scaffold65
1,scaffold67
1,scaffold678
1,scaffold679
1,scaffold7
1,scaffold73
1,scaffold79
1,scaffold8
1,scaffold83
1,scaffold93
2,scaffold1
2,scaffold13
2,scaffold140
2,scaffold154
2,scaffold157
2,scaffold160
2,scaffold18
2,scaffold198
2,scaffold229
2,scaffold230
2,scaffold237
2,scaffold25
2,scaffold28
2,scaffold32
2,scaffold457
2,scaffold5
2,scaffold58
2,scaffold6
2,scaffold76
2,scaffold78
2,scaffold81
2,scaffold84
2,scaffold91
2,scaffold95
2,scaffold99
3,scaffold12
3,scaffold14
3,scaffold2
3,scaffold365
3,scaffold50
3,scaffold683
3,scaffold71
4,scaffold15
4,scaffold169
4,scaffold193
4,scaffold39
4,scaffold62
